Country_of_Operator,Operator_Owner,Purpose,Type_of_Orbit,Perigee_km,Apogee_km,Eccentricity,Period_minutes,Launch_Mass_kg,Dry_Mass_kg,Power_watts,Anticipated_Lifetime,Contractor,Country_of_Contractor,Launch_Site,Launch_Vehicle,longitude_radians_of_geo,Inclination_radians,military,geo_orbit
Denmark,Aalborg University,Technology Development,,770.0,787.0,0.00119,100.42,0.8,,,1.0,Aalborg University,Denmark,Satish Dhawan Space Center,PSLV,,1.7214182410000000,FALSE,FALSE
International,Asia Broadcasting Satellite,Communications,,35777.0,35794.0,0.0002,1436.08,2894.0,1730.0,6800.0,15.0,Lockheed Martin,USA,Baikonur Cosmodrome,Proton,1.309520538,0.000174533,FALSE,TRUE
International,Asia Broadcasting Satellite,Communications,,35785.0,35789.0,5E-05,1436.13,1459.0,800.0,1600.0,10.0,Lockheed Martin Astro Space,USA,Cape Canaveral,Delta 2,2.03400671,0.032463124000000000,FALSE,TRUE
China (PR),Asia Broadcasting Satellite,Communications,,35780.0,35793.0,0.00015,1436.1,4143.0,1700.0,7400.0,12.0,Space Systems/Loral,USA,Cape Canaveral,Atlas 3,1.308996939,0.000174533,FALSE,TRUE
International,Asia Broadcast Satellite,Communications,,35780.0,35791.0,0.00013000000000000000,1436.06,3500.0,1800.0,4800.0,15.0,Lockheed Martin Astro Space,USA,Guiana Space Center,Ariane,2.027723525,0.000174533,FALSE,TRUE
USA,"NASA Goddard Space Flight Center, Jet Propulsion Laboratory",Solar Physics,Sun-Synchronous,670.0,710.0,0.00283,98.6,115.0,13.0,10.0,5.0,Orbital Sciences Corp.,USA,Vandenberg AFB,Taurus,,1.7069320080000000,FALSE,FALSE
USA,National Reconnaissance Office (NRO),Electronic Surveillance,,35560.0,36013.0,0.005370000000000000,1436.14,4500.0,,,,TRW Space and Electronics,USA,Cape Canaveral,Titan IVA,-0.253072742,0.134739418,TRUE,TRUE
USA,National Reconnaissance Office (NRO),Electronic Surveillance,,35589.0,35984.0,0.00468,1436.1,4500.0,,,,TRW Space and Electronics,USA,Cape Canaveral,Titan IV,1.6650441060000000,0.055850536,TRUE,TRUE
USA,National Reconnaissance Office (NRO),Electronic Surveillance,,35714.0,35937.0,0.00264,1438.8,5000.0,,,,National Reconnaissance Laboratory (?),USA,Cape Canaveral,Delta 4 Heavy,0.767944871,0.050440015,TRUE,TRUE
USA,National Reconnaissance Office (NRO),Electronic Surveillance,,35500.0,35500.0,0.0,,5000.0,,,,National Reconnaissance Laboratory (?),USA,Cape Canaveral,Delta 4 Heavy,1.761037215,0.0,TRUE,TRUE
USA,National Reconnaissance Office (NRO),Electronic Surveillance,,35771.0,35805.0,0.0004,23.94,5000.0,,,,National Reconnaissance Laboratory(?),USA,Cape Canaveral,Delta 4 Heavy,1.047197551,0.0,TRUE,TRUE
USA,US Air Force,Communications,,35872.0,36103.0,0.0027300000000000000,1446.36,6169.0,,,14.0,Lockheed Martin Space Systems,USA,Cape Canaveral,Atlas 5,-1.2042771840000000,0.076096355,TRUE,TRUE
USA,US Air Force,Communications,,35700.0,35700.0,0.0,1306.29,6169.0,,,14.0,Lockheed Martin Space Systems,USA,Cape Canaveral,Atlas 5,-2.094395102,0.35587263400000000,TRUE,TRUE
USA,US Air Force,Communications,,35700.0,35700.0,0.0,1306.29,6169.0,,,14.0,Lockheed Martin Space Systems,USA,Cape Canaveral,Atlas 5,,0.35587263400000000,TRUE,TRUE
USA,Department of Homeland Security,Technology Development,,480.0,790.0,0.02213,97.4,3.0,,,,University of Southern California,USA,Vandenberg AFB,Atlas 5,,0.000349066,FALSE,FALSE
USA,Aerospace Corporation,Technology Development,,495.0,791.0,0.0211,97.5,4.5,,,,Aerospace Corporation,USA,Vandenberg AFB,Atlas 5,,1.127482697,FALSE,FALSE
USA,Aerospace Corporation,Technology Development,,499.0,792.0,0.020880000000000000,97.6,4.5,,,,Aerospace Corporation,USA,Vandenberg AFB,Atlas 5,,1.127482697,FALSE,FALSE
USA,Aerospace Corporation,Technology Development,,443.0,886.0,0.03149,98.0,5.0,,,2.0,Aerospace Corporation,USA,Vandenberg AFB,Atlas 5,,2.09963109,FALSE,FALSE
USA,Aerospace Corporation,Technology Development,,443.0,886.0,0.03149,98.0,5.0,,,2.0,Aerospace Corporation,USA,Vandenberg AFB,Atlas 5,,2.09963109,FALSE,FALSE
